"STOP_SEQUENCE","CUM_TIME","CUM_DIST"
1,0,0
2,6,0.207
3,8,0.376
10,11,1.808
21,16,3.669
27,19,4.647
31,23,5.496
35,26,5.943
43,30,6.924
47,32,7.482
51,35,8.11
53,38,8.669
58,41,9.31
61,43,9.654
61,44,9.683
61,47,9.693
62,48,9.786
64,50,10.075
68,53,10.769
70,56,11.16
73,59,11.543
76,62,12.078
82,65,12.872
90,68,13.996
104,74,15.889
28,0,0
26,2,0.638
20,6,1.475
11,12,3.029
8,15,3.532
3,18,4.534
1,20,4.869
57,0,0
61,4,0.459
61,6,0.484
61,9,0.523
63,12,0.723
69,16,1.578
71,18,2.002
75,21,2.612
81,24,3.481
83,27,3.764
90,30,4.63
94,33,5.174
98,36,5.687
104,39,6.682
104,0,0
103,2,0.247
97,7,1.277
90,10,2.13
81,15,3.326
78,16,3.746
74,19,4.398
71,24,4.853
67,25,5.49
61,28,6.202
61,30,6.386
61,31,6.41
60,33,6.525
59,34,6.619
57,37,6.994
53,40,7.457
53,41,7.677
49,43,8.243
45,46,8.897
41,49,9.503
35,52,10.22
31,55,10.647
26,58,11.638
26,59,11.732
21,61,12.367
19,62,12.738
16,64,13.317
11,67,14.141
5,70,15.262
1,73,15.892
64,0,0
61,3,0.395
61,9,0.425
60,10,0.546
58,12,0.834
55,15,1.36
53,18,1.807
47,21,2.668
45,24,3.065
41,26,3.578
38,27,4.042
32,30,4.572
27,33,5.503
26,36,5.793
26,38,5.902
21,39,6.512
19,41,6.895
8,48,8.879
4,51,9.669
1,54,10.08
1,0,0
2,1,0.16
3,2,0.331
8,6,1.495
12,9,2.081
14,12,2.438
21,15,3.621
27,18,4.597
30,21,5.249
36,24,5.904
43,26,6.84
45,27,7.043
48,30,7.64
53,33,8.39
53,37,8.558
61,39,9.552
61,42,9.568
61,43,9.696
61,45,9.822
64,48,10.19
69,51,10.929
72,54,11.523
77,56,12.32
81,59,12.904
83,62,13.088
92,65,14.4
98,68,15.047
104,71,16.03
98,0,0
101,3,0.549
104,6,1.099
104,0,0
103,3,0.263
94,9,1.671
90,12,2.145
86,15,2.719
80,18,3.417
75,21,4.134
72,24,4.62
69,27,5.218
64,30,6.047
61,32,6.343
61,33,6.351
59,36,6.592
56,38,7.098
53,42,7.622
50,44,8.079
47,47,8.543
41,51,9.438
36,53,10.097
31,56,10.545
28,59,11.059
25,61,11.711
22,62,12.16
19,64,12.682
17,65,13.059
13,68,13.829
7,74,14.901
2,77,15.827
2,78,15.978
1,86,16.132
1,0,0
2,3,0.285
3,4,0.437
5,6,0.94
14,12,2.532
17,15,3.197
21,17,3.756
27,21,4.705
32,27,5.715
119,0,0
106,6,1.537
103,9,2.202
102,10,2.416
98,13,3.046
95,15,3.459
91,18,3.918
88,21,4.411
84,24,4.877
80,27,5.44
76,30,5.936
73,33,6.47
70,36,6.859
68,39,7.406
65,42,7.811
61,45,8.201
59,48,8.594
57,51,8.862
56,54,9.04
